Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1119;Nicolas Haas;SUI;MF;Empoli;Serie A;26;1996;16;11;1001;11.1;0;0.63;0.18;28.6;0;0;15.7;0;0;0;33.7;43;78.4;576.8;187;17;19.4;87.9;12.9;15.7;82.2;3.15;5.68;55.6;0.18;1.17;2.61;1.44;0.36;4.59;43;41.7;1.26;0.81;0;8.02;0.81;1.44;0.09;0;0;0;32.7;5.32;4.95;7.3;34.4;0.45;0.36;0.18;33.7;0.45;1.08;1.89;1.71;2.52;2.25;0;0;0.09;0;0.18;0.18;0.18;0;0;0;0;0;3.6;2.25;1.53;1.08;0.99;1.71;3.96;43.2;2.25;23.2;6.49;27.9;6.67;9.91;6.67;2.34;0.36;0;1.98;0.9;4.5;1.35;0;54.1;2.34;12.9;26.8;16.8;1.62;53.3;0.18;0.45;40;0.18;0;35;164;72.5;3.15;1.26;0.27;1.35;1.26;43.9;35.4;80.7;3.51;0.27;0;0;1.89;1.44;0.09;1.44;2.25;0;0;0;9.37;0.63;1.53;29.2
1120;Janik Haberer;GER;MF;Freiburg;Bundesliga;28;1994;26;7;818;9.1;0.33;1.43;0.33;23.1;0.23;1;16.1;0;0;0;27;35.2;76.9;450.1;95.7;12.4;15.6;79.6;11.6;13.6;85.5;1.87;2.86;65.4;0;0.22;2.2;0.33;0;1.65;35.2;34.6;0.55;0.33;0;9.01;0.55;0.33;0.11;0;0.11;0;22.5;6.48;6.15;4.18;25.5;3.3;0.11;0.11;27;0;0.88;1.43;1.76;1.1;0.99;0;0;0.11;0;0;0;0;0;0;0;0;0;2.75;1.21;1.32;0.88;0.55;0.88;2.31;38.1;1.43;23.5;6.81;29;8.13;11.4;3.96;1.76;0.44;0;1.32;1.87;4.62;2.42;0;48.2;2.64;12.9;24.4;13.3;1.87;47.8;0.44;0.99;44.4;0.66;0;22.5;106.3;43.3;1.54;0.88;0.22;0.88;0.88;26.9;24;89;1.76;0.11;0;0;2.09;0.99;0.11;0.33;1.21;0;0;0;12.6;2.75;1.98;58.1
1121;Alexander Hack;GER;DF;Mainz 05;Bundesliga;28;1993;28;24;2074;23;0.13;1;0.22;21.7;0.13;0.6;16.4;0.04;0;0;38.7;48.8;79.3;827.1;332;11.9;14.3;83.2;18.1;21.3;85.1;7.87;11.3;69.6;0.04;0.26;2.61;0.26;0;3.48;48.8;45.8;3;2.65;0;7.78;1.22;0.13;0;0;0;0;31.2;6.3;11.3;36.8;5.83;3.3;0.35;0.13;38.7;0.13;0.7;1.74;1.22;0.74;0.61;0;0;0.09;0;0.04;0.17;0.13;0;0;0.04;0;0;2.57;1.78;1.78;0.65;0.13;1.09;1.96;55.6;0.87;10.4;4.26;40.8;5.87;4.09;0.48;1.65;0.7;0;0.96;2.39;4.96;5.04;0.09;61.4;7.87;34.5;26.1;3.13;1.43;58.7;0.39;0.52;75;0.43;0;31.7;137.8;71;1.26;0.09;0.04;0.3;0.17;33;31.9;96.4;0.26;0.26;0.04;0;1.52;1.61;0.09;0.13;1.78;0;0;0;13.8;3.96;2.13;65
1122;Robin Hack;GER;FWMF;Arminia;Bundesliga;23;1998;30;13;1364;15.2;0;2.04;0.39;19.4;0;0;20.8;0.13;0;0;23.5;32.4;72.4;412.8;121.4;10.9;12.8;85.6;8.75;11.3;77.8;2.83;5.72;49.4;0.2;1.18;1.64;1.45;0.33;3.22;32.4;29.9;2.57;0.59;0.13;7.17;1.18;1.32;0.79;0.39;0.13;0.07;21.7;3.42;7.3;3.49;26.4;1.32;0.59;0.13;23.5;0.33;0.79;1.12;1.45;2.43;1.78;0.13;0.2;0.26;0.07;0;0.2;0.13;0;0;0.07;0;0;1.18;0.86;0.46;0.59;0.13;0.53;1.64;32;1.12;19.1;6.12;32;3.88;9.61;5.66;1.32;0.07;0;1.25;0.99;2.17;0.53;0;47.1;0.79;6.05;23.9;21.3;2.7;44.5;1.91;3.88;49.2;2.04;0.26;34.4;183.5;84.4;4.47;1.51;0.66;2.57;2.5;43.2;32.3;74.7;5.72;0.13;0;0;1.32;1.71;0.26;1.32;0.86;0;0;0;6.84;0.59;2.04;22.5
1123;Munir El Haddadi;MAR;FWMF;Sevilla;La Liga;26;1995;16;4;474;5.3;0.38;2.45;1.32;53.8;0.15;0.29;13.1;0;0;0;20;25.8;77.4;302.1;65.7;10.8;12.3;87.7;6.42;8.49;75.6;1.32;2.45;53.8;0;1.13;1.13;1.13;0.38;1.89;25.8;25.7;0.19;0;0;4.91;0.94;1.13;0;0;0;0;18.3;3.4;4.15;19.4;3.4;1.32;0.19;0.19;20;0.19;0.38;1.13;1.13;2.08;1.7;0;0;0.38;0;0;0.19;0.19;0;0;0;0;0;1.13;0.57;0;0.94;0.19;0.38;1.13;33.3;0.75;17.9;4.72;26.3;3.58;9.25;5.09;1.7;0.19;0;1.51;1.51;2.64;0.94;0;40;0.75;5.09;19.1;17.5;3.96;39.8;0.19;0.57;33.3;0.19;0;24.2;95.5;45.1;2.08;0.94;0;2.26;2.08;41.5;27;65;4.91;0.57;0;0;1.89;2.45;0.57;1.13;0.57;0;0;0;6.42;2.08;3.02;40.7
1124;André Hahn;GER;MFFW;Augsburg;Bundesliga;31;1990;32;25;2101;23.3;0.21;1.93;0.86;44.4;0.11;0.25;16.1;0;0;0;10.7;18.6;57.6;180.2;55.1;5.84;8.37;69.7;3.22;5.62;57.3;1.46;3.05;47.9;0.09;0.69;0.52;0.69;0.47;1.24;18.6;18.2;0.43;0.09;0;5.28;0.64;1.59;0;0;0;0;9.06;4.16;5.41;2.27;11.8;1.93;0.21;0.47;10.7;0.04;0.56;0.56;1.46;1.59;1.07;0;0;0.26;0.13;0.13;0.21;0.13;0;0;0;0.04;0.04;1.46;0.6;0.43;0.56;0.47;0.56;1.89;29.5;1.33;19.3;4.89;25.3;3.26;9.48;6.57;2.1;0.3;0;1.8;1.07;2.53;1.59;0;32.2;2.15;6.14;13;14.4;3.43;31.8;0.47;1.24;37.9;0.56;0.13;15.5;79.4;33.2;1.29;0.52;0.13;2.36;1.37;36.4;19.4;53.4;3.56;0.21;0;0;2.58;0.64;0.73;1.59;0.6;0.04;0;0;4.89;2.75;3.52;43.8
1125;Amadou Haidara;MLI;MF;RB Leipzig;Bundesliga;24;1998;20;15;1326;14.7;0.2;0.95;0.34;35.7;0.21;0.6;21.6;0;0;0;45.1;54.2;83.2;773.1;240.2;21.4;24.1;88.5;17.9;20.9;85.7;4.69;6.12;76.7;0.07;0.48;4.35;1.22;0.07;6.12;54.2;53.1;1.09;0.68;0.27;11.6;0.88;0.27;0;0;0;0;41.3;6.33;6.6;5.85;44.4;1.84;0.27;0.68;45.1;0.2;0.54;1.97;1.77;1.43;1.29;0;0.07;0.07;0;0;0.2;0.2;0;0;0;0;0;2.11;1.43;0.75;1.29;0.07;0.48;2.11;22.6;1.63;17.6;6.6;37.6;4.42;10.2;2.93;1.9;0.48;0;1.43;1.09;3.2;1.02;0;64;0.68;11.4;42.8;14.1;1.29;62.9;1.22;1.56;78.3;1.22;0.07;44.6;193.9;105.7;4.9;1.56;0.07;0.75;0.95;46.5;43;92.4;1.7;0.14;0;0;1.5;1.16;0;0.27;1.43;0;0;0;12.2;1.84;1.5;55.1
1126;Massadio Haïdara;MLI;DF;Lens;Ligue 1;29;1992;20;12;1076;12;0.08;0.33;0.08;25;0.25;1;16.5;0;0;0;46;54.7;84.1;765.8;263.4;22.6;24.8;90.9;19.8;22.7;87.5;2.58;4.5;57.4;0.08;0.33;2.58;0.33;0;2.75;54.7;48.1;6.58;1;0.17;8;0.92;1.17;0;0;0;0;40;7.58;7.08;40.2;5.92;1.67;5.58;0.08;46;0.08;1.08;1.92;1.33;0.92;0.75;0.08;0;0;0.08;0;0.25;0.17;0;0;0;0.08;0;2.25;1.08;1.75;0.33;0.17;1;1.58;63.2;0.58;14;2.75;19.6;6.33;6.25;1.42;2;0.42;0;1.58;2.67;4.92;1.83;0.08;65.2;5;20.3;36.6;12.4;1.08;59.2;0.5;0.83;60;0.58;0.17;41;198.2;113.1;5.5;1.42;0.42;0.5;0.5;44.2;40.8;92.5;1.33;0.42;0.08;0;1.75;1;0;1.17;1.08;0;0;0;7.08;1.83;1.33;57.9
1127;Oualid El Hajjam;MAR;DF;Troyes;Ligue 1;31;1991;19;12;1072;11.9;0.08;0.92;0.25;27.3;0.09;0.33;18.7;0;0;0;39;49.2;79.2;701.7;260.6;17.4;19.4;89.6;16.4;19.5;84.1;4.62;8.66;53.4;0.08;0.42;1.68;0.42;0.34;1.34;49.2;43;6.22;1.01;0.08;6.72;0.5;1.26;0;0;0;0;30.6;10.2;8.49;8.66;32.8;1.76;5.21;0.17;39;0.08;1.01;1.43;1.51;0.92;0.67;0.08;0.08;0;0;0.08;0.17;0.17;0;0;0;0;0;1.93;1.09;1.26;0.34;0.34;0.84;1.6;52.6;0.76;9.16;2.86;31.2;4.87;3.28;1.01;2.02;0.67;0.08;1.34;3.45;5.38;1.68;0;59.5;5.46;30.1;23.6;9.33;0.92;53.4;0.34;0.67;50;0.34;0;35.6;195.1;96.4;2.27;0.59;0;0.5;0.59;35.4;34.3;96.9;0.42;0.17;0;0;1.6;0.92;0;1.26;1.09;0;0;0;8.07;0.92;0.92;50
1128;Achraf Hakimi;MAR;DF;Paris S-G;Ligue 1;23;1998;32;28;2479;27.5;0.15;0.76;0.36;47.6;0.19;0.4;16;0;0;0;59.6;66.7;89.3;893.1;252.3;34;36.6;92.9;21.7;24.2;89.9;2.62;3.38;77.4;0.22;1.05;2.36;1.42;0.47;3.56;66.7;58.9;7.75;0.91;0.04;6.73;0.36;1.89;0.07;0;0;0;53.6;10.3;2.84;7.35;51.2;1.02;6.76;0.15;59.6;0.11;0.36;2.07;1.27;1.67;1.27;0.04;0.22;0.07;0;0.07;0.29;0.25;0;0.04;0;0;0;2.98;1.71;1.67;0.91;0.4;1.38;2.91;47.5;1.53;16.2;5.05;31.2;6.33;4.98;4.87;1.13;0.18;0;0.95;1.64;4.62;0.8;0.04;76.1;2.62;21.3;30.3;28.5;3.09;68.5;0.98;1.89;51.9;1.09;0.18;53.6;232.3;135.7;6.25;1.49;0.69;1.02;0.95;60.6;55.9;92.2;4.44;0.11;0.04;0;0.73;0.65;0.22;1.89;1.71;0;0;0;4.87;0.36;0.73;33.3
1129;Marcel Halstenberg;GER;DF;RB Leipzig;Bundesliga;30;1991;8;5;507;5.6;0.18;0.89;0.18;20;0.2;1;14.8;0.18;0;0;65;73.9;87.9;1210.7;374.3;27.3;28.9;94.4;29.6;32.9;90.2;7.32;11.4;64.1;0;0.71;4.11;0.18;0.18;3.75;73.9;69.3;4.64;1.96;0;7.14;1.79;0.54;0.36;0;0.18;0;56.8;7.68;9.46;54.3;11.8;3.04;2.32;0.54;65;0;0.54;1.25;0.36;0.89;0.71;0.18;0;0;0;0;0;0;0;0;0;0;0;1.79;0.89;1.07;0.54;0.18;1.25;2.14;58.3;0.89;9.64;3.39;35.2;3.75;4.82;1.07;1.96;0.18;0;1.79;1.61;3.39;1.96;0;83;5.18;34.5;45.9;8.21;1.61;78.4;1.07;1.25;85.7;1.07;0;55.2;261.3;145.5;3.21;1.07;0.18;0.71;0.18;60;58.2;97;1.07;0;0;0;0.71;0.89;0.18;0.54;0.89;0;0;0;10.7;2.5;0.36;87.5
1130;Pierre-Yves Hamel;FRA;FWDF;Lorient;Ligue 1;28;1994;3;0;30;0.3;0;0;0;0;0;0;0;0;0;0;10;23.3;42.9;116.7;40;6.67;13.3;50;3.33;3.33;100;0;6.67;0;0;3.33;0;0;0;0;23.3;23.3;0;0;0;13.3;0;0;0;0;0;0;10;3.33;10;10;6.67;0;0;0;10;0;3.33;0;0;3.33;3.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.33;0;3.33;16.7;3.33;20;6.67;6.67;3.33;0;0;0;0;3.33;3.33;0;0;36.7;0;6.67;10;20;0;36.7;0;0;0;0;0;13.3;33.3;23.3;3.33;0;0;3.33;3.33;53.3;26.7;50;0;3.33;0;0;3.33;3.33;0;0;0;0;0;0;3.33;10;13.3;42.9
1131;Pierre-Yves Hamel;FRA;FW;Clermont Foot;Ligue 1;28;1994;17;6;523;5.8;0;2.41;0.69;28.6;0;0;14.6;0;0;0;13.8;18.3;75.5;193.4;25.5;7.59;9.66;78.6;4.83;5.69;84.8;0.52;0.86;60;0;0.52;0.86;0.52;0.17;0.86;18.3;14.7;3.62;0;0;6.38;0.17;0.34;0;0;0;0;11;3.62;3.62;1.72;11.2;1.38;0;0.86;13.8;0;0.17;0.34;0.86;1.03;0.52;0;0;0.34;0;0.17;0;0;0;0;0;0;0;2.24;1.55;0.34;0.86;1.03;0.69;1.03;66.7;0.34;24.7;5.69;23.1;1.55;10.5;12.6;0.69;0.17;0;0.52;0.52;2.76;0;0;29.1;0.17;3.28;14.8;12.4;3.45;25.5;0;0.34;0;0;0;11.9;38.4;16.7;1.72;0.34;0.52;2.76;1.55;39.7;18.3;46.1;4.31;0.34;0;0;2.59;1.38;0.34;0.34;1.55;0;0;0;2.76;3.97;6.03;39.7
1132;Romain Hamouma;FRA;FW;Saint-Étienne;Ligue 1;35;1987;22;7;886;9.8;0.2;2.24;0.71;31.8;0.09;0.29;17.1;0;0;0;22.9;32.6;70.2;327.3;68.3;12;14.2;84.9;7.45;9.8;76;1.22;4.29;28.6;0.1;1.22;0.92;0.51;0.1;1.63;32.6;29.1;3.47;0.71;0.2;6.12;0.61;2.24;1.43;0.51;0.92;0;22.8;3.88;5.92;4.59;26.3;1.12;0.2;0.1;22.9;0.1;1.43;0.82;2.65;3.37;2.24;0.41;0.2;0.1;0.31;0.1;0.31;0.1;0.1;0;0;0.1;0;1.33;0.71;0.1;0.82;0.41;0.31;1.43;21.4;1.12;20;6.22;31.1;2.45;9.18;8.37;1.02;0;0;1.02;0.31;1.63;0.31;0;46.8;0.41;3.06;20.7;26.1;4.69;43.6;1.43;3.06;46.7;1.53;0;34.8;167.3;96.1;5.41;1.94;0.41;3.37;2.14;49.6;34.4;69.3;8.67;0.2;0;0;2.35;1.43;0.82;2.24;0.71;0;0;0;5.1;0.41;1.33;23.5
1133;Samir Handanovi?;SVN;GK;Inter;Serie A;37;1984;37;37;3330;37;0;0;0;0;0;0;0;0;0;0;28.9;34;84.8;750.7;436.8;7;7.03;99.6;13.2;13.3;99.2;8.41;13.4;62.7;0;0;0.35;0;0;0;34;29.1;4.89;0.97;0;3.05;0.32;0;0;0;0;0;21.7;1.73;10.6;2.68;26.2;0.08;0;4.54;28.9;0;0.38;0.32;0.05;0.11;0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05;0;0.05;0.03;0.03;100;0.03;0;0;0.03;0;0;0.03;0;0;0.03;0;36.1;34.3;36;0.05;0.03;0.03;31.2;0;0;0;0;0;22.1;99.5;65.5;0;0;0;0.03;0;24.2;24.1;99.6;0;0.03;0;0;0;0.11;0;0;0;0;0;0;3.08;0;0;0
1134;Grant Hanley;SCO;DF;Norwich City;Premier League;30;1991;33;33;2897;32.2;0.03;0.62;0.12;20;0.05;0.25;8.1;0;0;0;32.7;38.6;84.7;712.4;175.4;8.66;9.84;88;17.2;18.7;92.2;6.3;9.22;68.4;0;0.12;0.84;0.06;0;0.9;38.6;36.9;1.71;1.68;0;3.94;1.06;0.03;0;0;0;0;28.2;3.01;7.42;2.48;31.4;3.23;0.03;0.09;32.7;0;0.71;0.31;0.37;0.31;0.16;0.03;0;0.12;0;0;0;0;0;0;0;0;0;1.71;1.18;1.18;0.43;0.09;0.43;0.9;48.3;0.47;8.35;3.17;37.9;5.96;2.08;0.31;2.39;1.68;0.03;0.71;2.02;3.73;6.09;0.03;51.6;12.3;34.7;17;1.58;1.06;50;0.12;0.19;66.7;0.12;0;25.5;103.3;45;0.71;0.09;0;0.16;0.03;29.4;28.4;96.7;0.09;0.06;0;0;0.87;0.75;0.06;0.03;1.18;0;0.03;0;7.83;3.6;1.15;75.8
1135;Ridgeciano Haps;SUR;DF;Venezia;Serie A;28;1993;25;24;2056;22.8;0.04;0.48;0.09;18.2;0.09;0.5;21.7;0;0;0;28.9;38.2;75.8;539.4;228.3;12.5;14.5;86.1;12.4;15.6;79.2;3.55;6.32;56.3;0.04;0.57;1.36;0.44;0.22;2.11;38.2;30.4;7.81;0.22;0;5.31;0.66;0.96;0.04;0.04;0;0;20.3;8.25;9.65;23.3;4.25;1.97;7.54;0.44;28.9;0.13;0.79;1.14;1.27;1.23;0.83;0.13;0.09;0;0.18;0;0.09;0.04;0.04;0;0;0;0;1.67;0.7;1.14;0.35;0.18;0.39;0.96;40.9;0.57;10.9;3.11;28.5;5.48;3.95;1.49;2.37;0.48;0.09;1.89;2.19;3.86;2.24;0.04;49.7;4.21;19.5;22.1;10.6;0.83;42.1;0.61;0.7;87.5;0.61;0;26.1;145;86.2;3.51;1.27;0.26;1.1;0.44;27.8;24.5;88.2;1.67;0.26;0;0;1.14;2.15;0.09;0.96;0.7;0.04;0.04;0;7.68;1.14;1.05;52
1136;Genki Haraguchi;JPN;MF;Union Berlin;Bundesliga;31;1991;30;23;1755;19.5;0.1;1.49;0.31;20.7;0.07;0.33;20;0;0;0;21;28.6;73.5;368.5;100.2;9.54;11.9;79.8;8.82;11;80;2.1;3.79;55.4;0.31;1.23;2.1;0.51;0.15;2.97;28.6;28.4;0.21;0.15;0;5.64;0.41;0.72;0;0;0;0;17.3;5.03;6.26;3.54;20.6;3.33;0;0.41;21;0;0.62;1.44;1.28;2.1;1.69;0;0.1;0.1;0.15;0.05;0.31;0.26;0;0;0;0;0.05;2;1.08;0.77;1.03;0.21;0.67;2.31;28.9;1.64;18.2;5.64;31;4.36;9.64;4.21;1.95;0.15;0;1.79;1.33;3.33;1.28;0;39.8;1.54;8.15;22.2;11.5;1.95;39.7;0.46;0.77;60;0.46;0;21;131.1;73;3.13;0.82;0.51;1.03;0.67;28.5;22.4;78.6;2.87;0.1;0;0;1.64;1.69;0.05;0.72;1.08;0;0;0;9.38;0.97;1.54;38.8
1137;Amine Harit;MAR;FWMF;Marseille;Ligue 1;24;1997;23;12;1165;12.9;0.31;1.16;0.54;46.7;0.27;0.57;15.7;0.08;0;0;47.3;54;87.5;728;168.4;27.7;30.1;92;14.7;16.2;90.4;3.8;5.58;68.1;0.31;1.86;3.88;1.24;0.31;3.49;54;51;3.02;0.7;0.08;8.91;1.86;1.32;1.24;0.31;0.7;0.16;46.9;3.95;3.18;4.34;48.2;0.08;0.78;0.31;47.3;0.23;0.47;1.86;0.93;3.8;2.56;0.47;0.47;0.16;0.16;0;0.54;0.31;0.08;0.16;0;0;0;2.09;1.71;0.78;1.01;0.31;0.78;1.32;58.8;0.54;18.5;6.05;32.6;3.02;8.6;6.9;0.62;0;0;0.62;0.7;2.79;0.23;0;68.8;0.31;6.12;34.7;32.9;4.73;66.4;1.86;3.64;51.1;1.86;0.08;57.8;293.2;160.5;8.76;2.17;1.09;2.79;3.33;66;55.9;84.7;7.67;0.08;0;0;1.24;3.02;0.23;1.32;1.71;0;0;0;5.5;0.39;1.24;23.8
1138;Varazdat Haroyan;ARM;DF;Cádiz;La Liga;29;1992;17;16;1437;16;0.06;0.25;0.13;50;0.25;0.5;7.2;0;0;0;21.1;25.9;81.6;465.9;132.8;6.13;7.13;86;10.1;11.4;88;4.69;6.81;68.8;0;0.25;1.06;0.13;0;0.63;25.9;24.4;1.5;1.38;0;3.69;1;0;0;0;0;0;17.3;2.38;6.19;1.69;20.4;2.19;0.13;0.13;21.1;0;0.63;0.5;0.25;0.38;0.31;0;0;0.06;0;0;0;0;0;0;0;0;0;2.13;1.31;1.38;0.75;0;0.94;1.88;50;0.94;11.9;4.69;39.3;6.69;5.06;0.19;1.75;0.88;0;0.88;1.94;4.06;4.94;0.06;37.2;5.88;22.8;14.6;1.25;0.5;35.7;0;0.06;0;0;0;16.7;81.3;34.4;0.81;0.25;0;0.13;0.13;17.1;16.4;96.3;0.25;0.56;0;0;1.69;0.38;0.06;0;1.31;0;0;0;7.31;2.19;1.13;66
1139;Jack Harrison;ENG;FWMF;Leeds United;Premier League;25;1996;35;32;2639;29.3;0.27;1.5;0.58;38.6;0.18;0.47;16.9;0;0;0;22.7;34.8;65.3;360.9;130.3;12.9;16.1;79.9;7.2;10.8;66.8;1.88;4.88;38.5;0.03;1.4;1.67;1.5;0.38;3.62;34.8;33.1;1.67;0.24;0.07;7.34;1.16;3.14;0.72;0.14;0.38;0.07;21.5;7.03;6.25;23;9.66;0.78;0.72;0.14;22.7;0.2;0.78;2.18;2.35;2.7;1.77;0.24;0.27;0.2;0.17;0.03;0.1;0.03;0;0.03;0.03;0;0;1.91;1.09;0.68;0.78;0.44;0.89;2.01;44.1;1.13;20.5;5.73;28;5.8;8.67;6.01;1.81;0.1;0;1.71;1.4;3.31;1.06;0;49.3;1.26;9.59;20.6;23.1;3.55;47.7;1.67;3.55;47.1;1.81;0.14;37;212.5;131.1;7;1.95;1.06;2.42;2.35;43.9;33.6;76.5;5.15;0.1;0;0;1.06;0.92;0.14;3.14;1.09;0;0;0;6.72;0.78;2.22;26.1
1140;Abdou Harroui;NED;MF;Sassuolo;Serie A;24;1998;22;3;452;5;0;2.6;0.4;15.4;0;0;20.9;0;0;0;51.4;59.4;86.5;920.4;184.2;24.4;26.8;91;20.2;22.4;90.2;6.2;7.8;79.5;0;1;6.8;0;0;2.8;59.4;58.6;0.8;0.6;0;11.8;1.2;0.6;0;0;0;0;47.8;4.4;7.2;12.2;44;1.4;0.2;0.2;51.4;0.2;0.6;1.2;1.8;2.6;2.4;0;0;0;0;0.2;0.2;0.2;0;0;0;0;0;2.4;1.8;1;1.2;0.2;1.2;3;40;1.8;27.8;7.4;26.6;8.2;13.4;6.2;3;0;0;3;1.4;3.8;0.6;0;73.8;2;15.2;41.8;21.4;2.8;73;0.2;1.2;16.7;0.8;0;53;270.4;112.2;6.4;2.2;0.6;1.6;1.8;59.6;52.6;88.3;3.4;0.4;0;0;3;0.4;0;0.6;1.8;0;0;0;11;1.4;1.8;43.8
1141;Luis Hartwig;GER;MF;Bochum;Bundesliga;19;2002;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
1142;Makoto Hasebe;JPN;DF;Eint Frankfurt;Bundesliga;38;1984;18;12;1187;13.2;0;0;0;0;0;0;0;0;0;0;61.6;71;86.8;1389.5;384.5;16;17.3;92.5;31.3;34.4;91;13.4;17.8;75.3;0;0.23;4.39;0.3;0;4.39;71;68.9;2.12;1.82;0.08;8.41;1.44;0.08;0;0;0;0;53.3;6.21;11.4;10.5;55.6;2.88;0.15;0.15;61.6;0.15;0.76;1.52;0.68;0.61;0.61;0;0;0;0;0;0.08;0.08;0;0;0;0;0;2.58;1.74;1.36;1.14;0.08;1.21;2.12;57.1;0.91;13.5;5.15;38.2;7.12;5.91;0.45;1.97;0.68;0.08;1.29;2.65;5.23;3.03;0;80.9;9.77;42.4;42.5;1.82;0;78.8;0.3;0.45;66.7;0.3;0;52.7;293.8;172.9;3.48;0.3;0;0.23;0.3;53.4;52.1;97.6;0.15;0.08;0;0;1.36;1.21;0;0.08;1.74;0;0;0;14.3;2.5;2.5;50
1143;Hans Hateboer;NED;DF;Atalanta;Serie A;28;1994;21;16;1386;15.4;0;1.1;0.13;11.8;0;0;12.8;0;0;0;46.6;56.1;83;723.1;250.1;28.2;30.8;91.6;15.3;18.5;82.5;2.79;4.81;58.1;0;0.78;2.92;1.17;0.52;3.64;56.1;47.9;8.25;0.65;0;6.95;1.1;2.01;0;0;0;0;39.5;9.35;7.27;11;34.7;1.43;7.6;0.26;46.6;0.19;0.91;2.08;1.82;1.69;1.56;0;0;0.06;0.06;0;0.19;0.19;0;0;0;0;0;1.56;0.52;0.78;0.39;0.39;0.58;1.82;32.1;1.23;10.2;2.47;24.2;3.18;3.83;3.18;1.1;0.19;0;0.91;0.39;1.95;1.23;0;64.2;2.47;12.9;28;27.7;3.12;56.3;0.52;0.84;61.5;0.52;0.06;42.6;212.7;121.4;5.52;1.95;0.58;1.1;0.71;51.8;45.6;88.1;3.9;0.13;0;0;1.23;0.65;0.19;2.01;0.52;0;0;0;5.13;1.95;1.75;52.6
1144;Kortney Hause;ENG;DF;Aston Villa;Premier League;26;1995;7;4;397;4.4;0.23;0.45;0.45;100;0.5;0.5;10.1;0;0;0;36.8;46.8;78.6;797.5;225.5;12;13.2;91.4;17;20.5;83.3;7.5;12.3;61.1;0;0;1.82;0;0;1.36;46.8;45.7;1.14;1.14;0;6.59;1.82;0.23;0;0;0;0;31.6;3.41;11.8;36.1;5.68;2.27;0;0.23;36.8;0;2.27;0;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.91;0.91;0.68;0;0.23;0.45;0.45;100;0;10.7;4.77;44.7;6.82;3.64;0.23;2.27;1.14;0;1.14;2.05;2.95;4.32;0;56.6;7.95;32.5;25.5;2.27;1.36;55.5;0.45;0.91;50;0.45;0;34.3;218.2;116.4;0.68;0;0;0.23;0.45;34.8;33;94.8;0.68;0;0;0;1.82;0.45;0.23;0.23;0.91;0;0.23;0;12.5;4.55;1.82;71.4
